pseudoprofile_id,edge_type,from_var_id,to_var_id,expected_sign,relation_interpretation,lag_spec,estimated_relevance_0_1,estimated_relevance_tier,notes
pseudoprofile_FTC_ID008,P_to_C,P01,C01,monotonic_negative,hypothesized_direct_causal,0-6h,0.82,very_high,PMR practice expected to rapidly reduce momentary muscle tension.
pseudoprofile_FTC_ID008,P_to_C,P06,C01,monotonic_positive,hypothesized_direct_causal,0-6h,0.75,high,Objective jaw-clench events indicate increased momentary tension.
pseudoprofile_FTC_ID008,P_to_C,P03,C01,monotonic_negative,hypothesized_direct_causal,0-2h,0.7,high,Breathing micro-practices expected to reduce momentary muscle tension acutely.
pseudoprofile_FTC_ID008,P_to_C,P05,C01,unknown,unknown,0-6h,0.65,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_C,P02,C02,monotonic_negative,hypothesized_direct_causal,0-6h,0.88,very_high,Interoceptive practice should increase momentary awareness (reduce low-awareness score).
pseudoprofile_FTC_ID008,P_to_C,P03,C02,monotonic_negative,temporal_association_noncausal_possible,0-2h,0.5,medium,Breathing may modestly increase bodily awareness in short lags.
pseudoprofile_FTC_ID008,P_to_C,P06,C02,unknown,unknown,0-6h,0.45,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_C,P01,C02,unknown,unknown,0-6h,0.4,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_C,P06,C03,monotonic_positive,hypothesized_direct_causal,0-6h,0.9,very_high,Objective jaw-clench events strongly predict tension-type headache intensity in short lags.
pseudoprofile_FTC_ID008,P_to_C,P01,C03,monotonic_negative,hypothesized_indirect_or_mediated,0-24h,0.7,high,PMR practice can reduce headache intensity over hours to days.
pseudoprofile_FTC_ID008,P_to_C,P04,C03,monotonic_negative,temporal_association_noncausal_possible,0-24h,0.65,high,Better sleep quality last night associated with lower headache likelihood/intensity across the day.
pseudoprofile_FTC_ID008,P_to_C,P05,C03,unknown,unknown,0-6h,0.6,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_C,P08,C04,monotonic_negative,hypothesized_direct_causal,0-6h,0.82,very_high,Cognitive reappraisal is expected to reduce anticipatory threat expectation in short lags.
pseudoprofile_FTC_ID008,P_to_C,P02,C04,monotonic_negative,hypothesized_indirect_or_mediated,0-6h,0.6,high,Interoceptive practice may reduce threat expectation indirectly by increasing detection and corrective action.
pseudoprofile_FTC_ID008,P_to_C,P03,C04,monotonic_negative,temporal_association_noncausal_possible,0-2h,0.55,high,Breathing exercises can acutely lower arousal and perceived threat.
pseudoprofile_FTC_ID008,P_to_C,P01,C04,unknown,unknown,0-6h,0.5,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_C,P01,C05,monotonic_negative,hypothesized_direct_causal,0-6h,0.8,very_high,PMR practice expected to make relaxation easier on short timescales.
pseudoprofile_FTC_ID008,P_to_C,P03,C05,monotonic_negative,hypothesized_direct_causal,0-2h,0.75,high,"Breathing micro-practices reduce difficulty relaxing, especially acutely."
pseudoprofile_FTC_ID008,P_to_C,P02,C05,monotonic_negative,temporal_association_noncausal_possible,0-6h,0.7,high,Interoceptive practice may support relaxation indirectly.
pseudoprofile_FTC_ID008,P_to_C,P07,C05,unknown,unknown,0-6h,0.65,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_C,P06,C06,monotonic_positive,hypothesized_direct_causal,0-6h,0.88,very_high,Passive jaw-clench counts strongly index habitual bracing.
pseudoprofile_FTC_ID008,P_to_C,P05,C06,monotonic_negative,hypothesized_direct_causal,0-6h,0.65,high,Ergonomic/posture adjustments expected to reduce habitual bracing over short periods.
pseudoprofile_FTC_ID008,P_to_C,P01,C06,monotonic_negative,hypothesized_indirect_or_mediated,0-6h,0.6,high,PMR may reduce general bracing tendency indirectly through lowering baseline tension.
pseudoprofile_FTC_ID008,P_to_C,P07,C06,unknown,unknown,0-6h,0.55,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,P_to_C,P08,C01,monotonic_negative,hypothesized_direct_causal,0-24h,0.78,high,Return-to-bed settling routine adherence expected to reduce likelihood of nightmare-triggered awakenings the same night or following.
pseudoprofile_FTC_ID041,P_to_C,P01,C01,monotonic_negative,hypothesized_direct_causal,24-168h,0.74,high,IRT practice expected to reduce recurrence of nightmare awakenings over days to weeks.
pseudoprofile_FTC_ID041,P_to_C,P04,C01,monotonic_negative,temporal_association_noncausal_possible,0-24h,0.6,high,Better sleep environment plausibly reduces awakenings; effect may be indirect.
pseudoprofile_FTC_ID041,P_to_C,P02,C01,unknown,unknown,0-6h,0.58,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,P_to_C,P01,C02,monotonic_negative,hypothesized_direct_causal,24-72h,0.82,very_high,IRT expected to reduce nightmare vividness over days to weeks.
pseudoprofile_FTC_ID041,P_to_C,P07,C02,monotonic_negative,hypothesized_direct_causal,0-24h,0.5,medium,Mindfulness use may modestly reduce nightmare intensity or recall.
pseudoprofile_FTC_ID041,P_to_C,P02,C02,unknown,unknown,0-6h,0.36,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,P_to_C,P04,C02,unknown,unknown,0-6h,0.34,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,P_to_C,P07,C03,monotonic_negative,hypothesized_direct_causal,0-24h,0.78,high,Mindfulness/acceptance practice expected to lower anticipatory anxiety about sleep.
pseudoprofile_FTC_ID041,P_to_C,P02,C03,monotonic_negative,hypothesized_direct_causal,0-6h,0.72,high,Presleep wind-down reduces anticipatory fear immediately before bedtime.
pseudoprofile_FTC_ID041,P_to_C,P08,C03,unknown,unknown,0-6h,0.7,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,P_to_C,P03,C03,unknown,unknown,0-6h,0.65,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,P_to_C,P05,C04,monotonic_positive,proxy_or_indicator,0-6h,0.8,very_high,Passive HR/HRV is primarily an objective index of acute autonomic arousal on awakening (proxy).
pseudoprofile_FTC_ID041,P_to_C,P03,C04,monotonic_negative,hypothesized_direct_causal,0-6h,0.7,high,Paced breathing/grounding may reduce subjective acute arousal on awakening.
pseudoprofile_FTC_ID041,P_to_C,P07,C04,unknown,unknown,0-6h,0.55,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,P_to_C,P02,C04,unknown,unknown,0-6h,0.4,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,P_to_C,P03,C05,monotonic_negative,hypothesized_direct_causal,0-6h,0.78,high,Paced breathing/grounding expected to reduce duration of post-awakening activation.
pseudoprofile_FTC_ID041,P_to_C,P05,C05,monotonic_negative,proxy_or_indicator,0-6h,0.72,high,Higher nocturnal HR/low HRV indexes prolonged activation; may predict longer recovery.
pseudoprofile_FTC_ID041,P_to_C,P07,C05,unknown,unknown,0-6h,0.6,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,P_to_C,P08,C05,unknown,unknown,0-6h,0.45,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,P_to_C,P08,C06,monotonic_negative,hypothesized_direct_causal,0-24h,0.8,very_high,Settling routine adherence strongly expected to shorten time to resume sleep.
pseudoprofile_FTC_ID041,P_to_C,P02,C06,monotonic_negative,hypothesized_direct_causal,0-24h,0.75,high,Wind-down decreases baseline arousal and supports resuming sleep.
pseudoprofile_FTC_ID041,P_to_C,P01,C06,unknown,unknown,0-6h,0.6,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID041,P_to_C,P04,C06,unknown,unknown,0-6h,0.5,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P02,C01,monotonic_positive,hypothesized_direct_causal,0-6h,0.85,very_high,Savoring expected to quickly increase positive reactivity.
pseudoprofile_FTC_ID002,P_to_C,P01,C01,monotonic_positive,hypothesized_direct_causal,0-24h,0.75,high,Behavioral activation increases exposure to reinforcing events.
pseudoprofile_FTC_ID002,P_to_C,P05,C01,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.55,high,Mindful presence may modestly increase detected positive affect.
pseudoprofile_FTC_ID002,P_to_C,P04,C01,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.45,medium,Micro-activations may indirectly increase opportunities for positive events.
pseudoprofile_FTC_ID002,P_to_C,P03,C02,monotonic_negative,hypothesized_direct_causal,0-24h,0.85,very_high,Self-compassion expected to reduce guilt about not enjoying events.
pseudoprofile_FTC_ID002,P_to_C,P01,C02,monotonic_negative,temporal_association_noncausal_possible,0-24h,0.5,medium,Increased activation can reduce rumination/guilt by increasing engagement.
pseudoprofile_FTC_ID002,P_to_C,P02,C02,monotonic_negative,temporal_association_noncausal_possible,0-24h,0.45,medium,Savoring may modestly reduce guilt by increasing perceived enjoyment.
pseudoprofile_FTC_ID002,P_to_C,P06,C02,unknown,unknown,0-6h,0.35,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P04,C03,monotonic_negative,hypothesized_direct_causal,0-6h,0.8,very_high,Micro-activations seen as primary interruptor of autopilot.
pseudoprofile_FTC_ID002,P_to_C,P01,C03,monotonic_negative,hypothesized_direct_causal,0-24h,0.7,high,Behavioral activation reduces habitual autopilot through planned variability.
pseudoprofile_FTC_ID002,P_to_C,P05,C03,monotonic_negative,hypothesized_direct_causal,0-6h,0.65,high,Momentary mindful checks increase presence and reduce autopilot.
pseudoprofile_FTC_ID002,P_to_C,P02,C03,unknown,unknown,0-6h,0.4,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P02,C04,monotonic_positive,hypothesized_direct_causal,0-24h,0.8,very_high,Savoring increases affect intensity across valence domains.
pseudoprofile_FTC_ID002,P_to_C,P05,C04,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.65,high,Presence can amplify emotional intensity.
pseudoprofile_FTC_ID002,P_to_C,P01,C04,monotonic_positive,temporal_association_noncausal_possible,0-24h,0.55,high,Activation may increase overall affective engagement over time.
pseudoprofile_FTC_ID002,P_to_C,P04,C04,unknown,unknown,0-6h,0.45,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P05,C05,monotonic_negative,temporal_association_noncausal_possible,0-24h,0.6,high,Becoming more present may reduce outward masking by increasing authenticity.
pseudoprofile_FTC_ID002,P_to_C,P06,C05,monotonic_negative,hypothesized_direct_causal,0-24h,0.5,medium,Meaningful social interaction may reduce the need to 'mask'.
pseudoprofile_FTC_ID002,P_to_C,P03,C05,monotonic_negative,temporal_association_noncausal_possible,0-24h,0.45,medium,Self-compassion may reduce internal distress that drives masking.
pseudoprofile_FTC_ID002,P_to_C,P01,C05,unknown,unknown,0-6h,0.4,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P01,C06,monotonic_positive,hypothesized_direct_causal,0-24h,0.85,very_high,Behavioral activation is primary lever to increase initiative.
pseudoprofile_FTC_ID002,P_to_C,P04,C06,monotonic_positive,hypothesized_direct_causal,0-6h,0.6,high,Micro-activations boost immediate motivation and momentum.
pseudoprofile_FTC_ID002,P_to_C,P02,C06,monotonic_positive,temporal_association_noncausal_possible,0-24h,0.55,high,Savoring may increase anticipated reward and thus motivation.
pseudoprofile_FTC_ID002,P_to_C,P05,C06,unknown,unknown,0-6h,0.45,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
