pseudoprofile_id,role,var_id,source_variable_id,label,ontology_path,domain,priority,polarity,measurement_mode,measurement_channel,assessment_type,measurement_item_or_signal,measurement_scale_or_unit,sampling_per_day,recall_window,expected_variability
pseudoprofile_FTC_ID019,criterion,C01,C01,Exaggerated startle intensity to sudden cues,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how strong were any startle/flinch reactions to sudden sounds or unexpected approaches?","1–9 Likert (1=None/very mild, 9=Extremely strong)",5,since last prompt,medium
pseudoprofile_FTC_ID019,criterion,C02,C02,Momentary on-edge/tense feeling,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"Right now, how tense or on edge do you feel?","1–9 Likert (1=Not at all, 9=Extremely)",5,right now,high
pseudoprofile_FTC_ID019,criterion,C03,C03,Cue-linked physiological reactivity (reminders),,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how strong was your body’s reaction when reminded of the past incident or similar cues? (If not reminded, choose 1)","1–9 Likert (1=Not reminded/no reaction, 9=Very strong reaction)",5,since last prompt,medium
pseudoprofile_FTC_ID019,criterion,C05,C05,Distress about being jumpy/on edge,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"Right now, how much do you dislike or feel bothered by being jumpy/on edge?","1–9 Likert (1=Not at all, 9=Extremely)",5,right now,high
pseudoprofile_FTC_ID019,predictor,P01,,Sleep quality last night,Sleep_Circadian_and_Restoration / Sleep_Routines_and_Practices,BIO,HIGH,,EMA_self_report,smartphone EMA app,morning_diary,"Overall, how restorative was your sleep last night?","1–9 Likert (1=Not at all, 9=Extremely)",1,last night,medium
pseudoprofile_FTC_ID019,predictor,P02,,Caffeine intake since last prompt,Nutrition_Hydration_and_Metabolic_Health / Caffeine_and_Stimulant_Intake_Modulation,BIO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how much caffeine did you consume (coffee, tea, soda, energy drinks)?","0–9 scale (0=None, 9=Very high)",5,since last prompt,medium
pseudoprofile_FTC_ID019,predictor,P03,,Paced/diaphragmatic breathing minutes,Movement_Physical_Function_and_Somatic_Care / Respiratory_and_Autonomic_Physiology_Tools,BIOxPSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, about how many minutes did you do slow/paced breathing (e.g., 4–6 breaths/min)?","Minutes (0–60), numeric entry",5,since last prompt,medium
pseudoprofile_FTC_ID019,predictor,P04,,Mindfulness/grounding use,Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how much did you use mindfulness/grounding (e.g., 5-senses, body scan, mindful breaths)?","1–9 Likert (1=None, 9=A lot)",5,since last prompt,medium
pseudoprofile_FTC_ID019,predictor,P05,,Cognitive reappraisal use,Cognitive_Behavioral_Therapies / Cognitive_Restructuring,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, to what extent did you reframe or reinterpret your arousal as safe/temporary?","1–9 Likert (1=Not at all, 9=A lot)",5,since last prompt,medium
pseudoprofile_FTC_ID019,predictor,P06,,Gentle trigger approach (graded exposure),Cognitive_Behavioral_Therapies / Exposure_and_Inhibitory_Learning,PSYCHO,MED,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, to what extent did you gently approach situations or cues you usually avoid because of jumpiness?","1–9 Likert (1=None, 9=A lot)",5,since last prompt,medium
