pseudoprofile_id,edge_type,from_var_id,to_var_id,expected_sign,relation_interpretation,lag_spec,estimated_relevance_0_1,estimated_relevance_tier,notes
pseudoprofile_FTC_ID008,C_to_C,C04,C01,monotonic_positive,hypothesized_direct_causal,0-6h,0.85,very_high,Anticipatory threat expectation strongly drives muscular bracing and tension.
pseudoprofile_FTC_ID008,C_to_C,C05,C01,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.75,high,Difficulty relaxing is associated with elevated baseline tension.
pseudoprofile_FTC_ID008,C_to_C,C02,C01,unknown,unknown,0-6h,0.7,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,C_to_C,C03,C02,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.8,very_high,Experiencing headache may change attention/awareness dynamics in subsequent windows.
pseudoprofile_FTC_ID008,C_to_C,C01,C02,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.7,high,Higher muscle tension may reduce momentary awareness or shift attentional resources.
pseudoprofile_FTC_ID008,C_to_C,C04,C02,unknown,unknown,0-6h,0.4,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,C_to_C,C01,C03,monotonic_positive,hypothesized_direct_causal,0-6h,0.9,very_high,Elevated muscle tension is the proximate driver of tension-type headache intensity.
pseudoprofile_FTC_ID008,C_to_C,C02,C03,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.8,very_high,Low awareness may allow tension to build into headache over subsequent windows.
pseudoprofile_FTC_ID008,C_to_C,C06,C03,unknown,unknown,0-6h,0.7,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,C_to_C,C06,C04,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.8,very_high,Habitual bracing may sustain or elevate perceived threat/anticipation in short lags.
pseudoprofile_FTC_ID008,C_to_C,C05,C04,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.7,high,Difficulty relaxing can amplify threat expectation in the short term.
pseudoprofile_FTC_ID008,C_to_C,C01,C04,unknown,unknown,0-6h,0.6,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,C_to_C,C04,C05,monotonic_positive,hypothesized_direct_causal,0-6h,0.7,high,Higher threat expectation makes relaxation more difficult.
pseudoprofile_FTC_ID008,C_to_C,C01,C05,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.65,high,Elevated tension can interfere with relaxation processes.
pseudoprofile_FTC_ID008,C_to_C,C06,C05,unknown,unknown,0-6h,0.6,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,C_to_C,C04,C06,monotonic_positive,hypothesized_direct_causal,0-6h,0.8,very_high,Threat expectation drives anticipatory bracing/habitual tensing.
pseudoprofile_FTC_ID008,C_to_C,C01,C06,monotonic_positive,hypothesized_direct_causal,0-6h,0.7,high,Elevated muscle tension reinforces habitual bracing patterns.
