code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Non-restorative sleep on waking,subjective_nonrestorative_sleep,0.82,
C02,CRITERION,Sustained daytime fatigue / low alertness,daytime_fatigue_due_to_sleep_disturbance,0.75,
C03,CRITERION,Moments of cognitive lapse (attention/short-term memory),attentional_fluctuation,0.68,
C04,CRITERION,Immediate self-directed anger/criticism after lapses,managing,0.62,
C05,CRITERION,Ruminative escalation into global worry about functioning,catastrophizing_rumination_content,0.82,
P01,PREDICTOR,Sleep Regularization Plan (Circadian Entrainment),consistent_morning_anchor_routine,0.72,
P02,PREDICTOR,Sleep Environment Optimization,blackout_window_treatments,0.72,
P03,PREDICTOR,Morning Daylight Exposure,morning_bright_light_exposure,0.85,
P04,PREDICTOR,Rumination Interruption Protocol,rumination_interruption_protocol,0.83,
P05,PREDICTOR,Mindfulness-Based Self-Regulation,self_compassion_meditation_practice,0.72,
P06,PREDICTOR,Social Support & Belonging,belonging_and_community_fit_assessment,0.62,
