pseudoprofile_id,edge_type,from_var_id,to_var_id,expected_sign,relation_interpretation,lag_spec,estimated_relevance_0_1,estimated_relevance_tier,notes
pseudoprofile_FTC_ID008,P_to_P,P02,P01,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.55,high,Interoception practice and PMR may co-occur or facilitate one another.
pseudoprofile_FTC_ID008,P_to_P,P03,P01,unknown,unknown,0-6h,0.5,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P04,P01,unknown,unknown,0-6h,0.5,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P01,P02,unknown,unknown,0-6h,0.55,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P06,P02,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.5,medium,Passive jaw sensor events (with biofeedback) can increase interoceptive practice; otherwise association may reflect detection opportunities.
pseudoprofile_FTC_ID008,P_to_P,P03,P02,unknown,unknown,0-6h,0.45,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P01,P03,monotonic_positive,hypothesized_direct_causal,0-6h,0.6,high,PMR and breathing practices may co-occur or PMR sessions may include breathing components.
pseudoprofile_FTC_ID008,P_to_P,P02,P03,unknown,unknown,0-6h,0.5,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P07,P03,unknown,unknown,0-6h,0.5,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P01,P04,monotonic_positive,temporal_association_noncausal_possible,0-24h,0.3,medium,PMR sessions may relate to sleep quality indirectly; weak association expected.
pseudoprofile_FTC_ID008,P_to_P,P02,P04,unknown,unknown,0-6h,0.3,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P08,P04,unknown,unknown,0-6h,0.3,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P07,P05,monotonic_positive,hypothesized_direct_causal,0-6h,0.55,high,Micro-breaks often lead to better posture/ergonomics over the short term.
pseudoprofile_FTC_ID008,P_to_P,P01,P05,unknown,unknown,0-6h,0.45,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P06,P05,unknown,unknown,0-6h,0.45,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P05,P06,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.6,high,Posture adjustments may co-occur with changes in jaw clenching events (association may be behavioral/contextual).
pseudoprofile_FTC_ID008,P_to_P,P04,P06,unknown,unknown,0-6h,0.2,low,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P07,P06,unknown,unknown,0-6h,0.2,low,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P01,P07,monotonic_positive,temporal_association_noncausal_possible,0-6h,0.4,medium,PMR practice may modestly associate with taking micro-breaks in the short term.
pseudoprofile_FTC_ID008,P_to_P,P02,P07,unknown,unknown,0-6h,0.4,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P05,P07,unknown,unknown,0-6h,0.4,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P02,P08,monotonic_positive,hypothesized_direct_causal,0-6h,0.65,high,Interoceptive practice can facilitate cognitive reappraisal (noting signals enables reappraisal).
pseudoprofile_FTC_ID008,P_to_P,P04,P08,unknown,unknown,0-6h,0.4,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID008,P_to_P,P01,P08,unknown,unknown,0-6h,0.35,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
