pseudoprofile_id,role,var_id,source_variable_id,label,ontology_path,domain,priority,polarity,measurement_mode,measurement_channel,assessment_type,measurement_item_or_signal,measurement_scale_or_unit,sampling_per_day,recall_window,expected_variability
pseudoprofile_FTC_ID024,criterion,C01,C01,Reduced tolerance for ambient noise,,,MED,unknown,EMA_self_report,smartphone EMA app,momentary,"Has your tolerance for ambient noise in public/social settings been unusually low right now, producing distress?",1-9 Likert scale,6,since_last_prompt,high
pseudoprofile_FTC_ID024,criterion,C02,C02,Acute urge to escape noisy situations,,,HIGH,unknown,EMA_self_report,smartphone EMA app,momentary,"Right now, how strong is the urge to leave this noisy environment?",1-9 Likert scale,6,since_last_prompt,high
pseudoprofile_FTC_ID024,criterion,C03,C03,Avoidance of common noisy contexts,,,MED,unknown,EMA_self_report,smartphone EMA app,momentary,"In the next moments, how likely are you to attend a noisy place (e.g., supermarket, cafe) in the next 1–2 hours?",1-9 Likert scale,6,since_last_prompt,high
pseudoprofile_FTC_ID024,criterion,C04,C04,Physiological hyperarousal when exposed,,,HIGH,unknown,EMA_self_report,smartphone EMA app,momentary,"Right now, rate bodily arousal (e.g., racing heartbeat, sweating) in response to noise.",1-9 Likert scale,6,since_last_prompt,high
pseudoprofile_FTC_ID024,criterion,C05,C05,Cognitive overwhelm / difficulty processing,,,HIGH,unknown,EMA_self_report,smartphone EMA app,momentary,"Right now, rate the sense that your brain is overloaded and processing is difficult in noisy settings.",1-9 Likert scale,6,since_last_prompt,high
pseudoprofile_FTC_ID024,criterion,C06,C06,Perceived social invalidation,,,MED,unknown,EMA_self_report,smartphone EMA app,momentary,"Right now, do you feel that others view your reaction as exaggerated or dramatic?",1-9 Likert scale,6,since_last_prompt,high
pseudoprofile_FTC_ID024,criterion,C07,C07,Functional interference with daily tasks and social participation,,,HIGH,unknown,EMA_self_report,smartphone EMA app,momentary,"Right now, how much is noise interfering with your ability to complete routine tasks or participate socially?",1-9 Likert scale,6,since_last_prompt,high
pseudoprofile_FTC_ID024,predictor,P01,,Sleep circadian entrainment,[BIO] Sleep_and_Circadian > Circadian_Entrainment,BIO,HIGH,,EMA_self_report,smartphone EMA app,end_of_day,"Tonight, how well did you regulate your sleep-wake timing and achieve adequate sleep?",1-9 Likert scale,1,end_of_day,high
pseudoprofile_FTC_ID024,predictor,P02,,Arousal regulation / distress tolerance,[PSYCHO] Third_Wave_and_Contextual_Therapies > Distress_Tolerance,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,momentary,"Right now, rate your ability to regulate arousal using diaphragmatic breathing or grounding (1-9).",1-9 Likert scale,6,since_last_prompt,high
pseudoprofile_FTC_ID024,predictor,P03,,Exposure-based noise tolerance planning,[PSYCHO] Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,momentary,"In this moment, how prepared or willing are you to encounter a noisy environment without avoidance (1-9)?",1-9 Likert scale,6,since_last_prompt,high
pseudoprofile_FTC_ID024,predictor,P04,,Environmental sensory accommodations use,[BIO] Sensory_Environment > Noise_Reduction_Tools,BIO,MED,,EMA_self_report,smartphone EMA app,momentary,"At this moment, are you using any noise-reduction tools or in a quieter environment? (1 if not, 9 if yes)",1-9 Likert scale,6,since_last_prompt,high
pseudoprofile_FTC_ID024,predictor,P05,,Social support / accommodation planning,[SOCIAL] Interpersonal_Therapeutic_Solutions > Social_Support_Mobilization,SOCIAL,MED,,EMA_self_report,smartphone EMA app,momentary,"Right now, rate the usefulness or availability of social support in managing the noise-related distress (1-9).",1-9 Likert scale,6,since_last_prompt,high
pseudoprofile_FTC_ID024,predictor,P06,,Mindfulness-based sensory grounding,[PSYCHO] Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions,PSYCHO,MED,,EMA_self_report,smartphone EMA app,momentary,"Right now, rate your use of mindfulness grounding or body-scan techniques (1-9) in response to noise.",1-9 Likert scale,6,since_last_prompt,high
pseudoprofile_FTC_ID001,criterion,C01,,Non-restorative sleep on waking,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,How rested did you feel upon waking this morning on a 1 (not rested) to 9 (fully rested) scale?,1-9 Likert,4,since last prompt,high
pseudoprofile_FTC_ID001,criterion,C02,,Sustained daytime fatigue / low alertness,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"Since waking, how fatigued or alert are you today on a 1 (very alert) to 9 (very fatigued) scale?",1-9 Likert,4,since last prompt,high
pseudoprofile_FTC_ID001,criterion,C03,,Moments of cognitive lapse (attention/short-term memory),,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"Since waking, how often did you experience attentional lapses or brief memory lapses (e.g., forgetfulness) on a 1 (never) to 9 (very often) scale?",1-9 Likert,4,since last prompt,high
pseudoprofile_FTC_ID001,criterion,C04,,Immediate self-directed anger/criticism after lapses,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"Immediately after noticing a lapse, how angry at yourself did you feel on a 1 (not angry) to 9 (extremely angry) scale?",1-9 Likert,4,since last prompt,medium
pseudoprofile_FTC_ID001,criterion,C05,,Ruminative escalation into global worry about functioning,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,momentary,"After a lapse, to what extent did thoughts escalate into worry about overall functioning on a 1 (not at all) to 9 (very much) scale?",1-9 Likert,4,since last prompt,high
pseudoprofile_FTC_ID001,predictor,P01,,Sleep Regularization Plan (Circadian Entrainment),[BIO] Sleep_circadian_and_restoration / circadian_entrainment,BIO,HIGH,,EMA_self_report,smartphone EMA app,momentary,"Today, how well did you maintain a regular sleep-wake schedule (0-9 scale; 0 = not regular at all, 9 = highly regular)?",1-9 Likert,4,since last_prompt,high
pseudoprofile_FTC_ID001,predictor,P02,,Sleep Environment Optimization,[BIO] Sleep_circadian_and_restoration / Sleep_environment,BIO,HIGH,,EMA_self_report,smartphone EMA app,momentary,"How conducive was your sleep environment tonight (1-9; 1 = very poor, 9 = excellent)?",1-9 Likert,4,since last_prompt,high
pseudoprofile_FTC_ID001,predictor,P03,,Morning Daylight Exposure,[BIO] Sleep_circadian_and_restoration / circadian_entrainment / light_cues,BIO,HIGH,,EMA_self_report,smartphone EMA app,momentary,"Today, how much daylight exposure did you have in the morning (1-9 scale; 1 = none, 9 = plenty)?",1-9 Likert,4,today,high
pseudoprofile_FTC_ID001,predictor,P04,,Rumination Interruption Protocol,[PSYCHO] Cognitive_Behavioral_Therapies / Perseverative_Cognition_Interventions,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,momentary,"Since last prompt, how successfully did you interrupt rumination when it started (1-9 scale)?",1-9 Likert,4,since last_prompt,high
